date_id,date,year,month,quarter,day_of_week,is_weekend
20200101,2020-01-01,2020,1,1,Wednesday,0
20200102,2020-01-02,2020,1,1,Thursday,0
20200103,2020-01-03,2020,1,1,Friday,0
20200104,2020-01-04,2020,1,1,Saturday,1
20200105,2020-01-05,2020,1,1,Sunday,1
20200106,2020-01-06,2020,1,1,Monday,0
20200107,2020-01-07,2020,1,1,Tuesday,0
20200108,2020-01-08,2020,1,1,Wednesday,0
20200109,2020-01-09,2020,1,1,Thursday,0
20200110,2020-01-10,2020,1,1,Friday,0
20200111,2020-01-11,2020,1,1,Saturday,1
20200112,2020-01-12,2020,1,1,Sunday,1
20200113,2020-01-13,2020,1,1,Monday,0
20200114,2020-01-14,2020,1,1,Tuesday,0
20200115,2020-01-15,2020,1,1,Wednesday,0
20200116,2020-01-16,2020,1,1,Thursday,0
20200117,2020-01-17,2020,1,1,Friday,0
20200118,2020-01-18,2020,1,1,Saturday,1
20200119,2020-01-19,2020,1,1,Sunday,1
20200120,2020-01-20,2020,1,1,Monday,0
20200121,2020-01-21,2020,1,1,Tuesday,0
20200122,2020-01-22,2020,1,1,Wednesday,0
20200123,2020-01-23,2020,1,1,Thursday,0
20200124,2020-01-24,2020,1,1,Friday,0
20200125,2020-01-25,2020,1,1,Saturday,1
20200126,2020-01-26,2020,1,1,Sunday,1
20200127,2020-01-27,2020,1,1,Monday,0
20200128,2020-01-28,2020,1,1,Tuesday,0
20200129,2020-01-29,2020,1,1,Wednesday,0
20200130,2020-01-30,2020,1,1,Thursday,0
20200131,2020-01-31,2020,1,1,Friday,0
20200201,2020-02-01,2020,2,1,Saturday,1
20200202,2020-02-02,2020,2,1,Sunday,1
20200203,2020-02-03,2020,2,1,Monday,0
20200204,2020-02-04,2020,2,1,Tuesday,0
20200205,2020-02-05,2020,2,1,Wednesday,0
20200206,2020-02-06,2020,2,1,Thursday,0
20200207,2020-02-07,2020,2,1,Friday,0
20200208,2020-02-08,2020,2,1,Saturday,1
20200209,2020-02-09,2020,2,1,Sunday,1
20200210,2020-02-10,2020,2,1,Monday,0
20200211,2020-02-11,2020,2,1,Tuesday,0
20200212,2020-02-12,2020,2,1,Wednesday,0
20200213,2020-02-13,2020,2,1,Thursday,0
20200214,2020-02-14,2020,2,1,Friday,0
20200215,2020-02-15,2020,2,1,Saturday,1
20200216,2020-02-16,2020,2,1,Sunday,1
20200217,2020-02-17,2020,2,1,Monday,0
20200218,2020-02-18,2020,2,1,Tuesday,0
20200219,2020-02-19,2020,2,1,Wednesday,0
20200220,2020-02-20,2020,2,1,Thursday,0
20200221,2020-02-21,2020,2,1,Friday,0
20200222,2020-02-22,2020,2,1,Saturday,1
20200223,2020-02-23,2020,2,1,Sunday,1
20200224,2020-02-24,2020,2,1,Monday,0
20200225,2020-02-25,2020,2,1,Tuesday,0
20200226,2020-02-26,2020,2,1,Wednesday,0
20200227,2020-02-27,2020,2,1,Thursday,0
20200228,2020-02-28,2020,2,1,Friday,0
20200229,2020-02-29,2020,2,1,Saturday,1
20200301,2020-03-01,2020,3,1,Sunday,1
20200302,2020-03-02,2020,3,1,Monday,0
20200303,2020-03-03,2020,3,1,Tuesday,0
20200304,2020-03-04,2020,3,1,Wednesday,0
20200305,2020-03-05,2020,3,1,Thursday,0
20200306,2020-03-06,2020,3,1,Friday,0
20200307,2020-03-07,2020,3,1,Saturday,1
20200308,2020-03-08,2020,3,1,Sunday,1
20200309,2020-03-09,2020,3,1,Monday,0
